SALE ID,USER ID,PRODUCT ID,NUTRITIONIST ID,PURCHASE AMOUNT,SALE DATE,ORDER TYPE
S00001,U0182,P031,N013,$49.47,2024-09-30,coaching
S00002,U0537,P024,—,$28.00,2024-06-13,ebook
S00003,U0879,P034,—,$26.62,2024-12-12,meal_plan
S00004,U0735,P047,—,$13.98,2024-12-21,ebook
S00005,U0810,P020,—,$33.25,2024-07-15,supplement
S00006,U0657,P020,N006,$55.53,2024-01-24,coaching
S00007,U0691,P019,—,$18.12,2024-09-23,ebook
S00008,U0855,P022,N014,$137.80,2024-03-09,coaching
S00009,U0247,P032,—,$16.19,2024-04-06,ebook
S00010,U0482,P026,—,$9.38,2024-04-24,ebook
S00011,U0218,P009,—,$27.45,2024-01-12,meal_plan
S00012,U0989,P011,N004,$85.66,2024-11-29,coaching
S00013,U0947,P025,—,$54.06,2024-05-10,meal_plan
S00014,U0037,P040,—,$20.94,2024-01-25,meal_plan
S00015,U0702,P042,—,$52.44,2024-01-25,meal_plan
S00016,U0925,P027,—,$36.77,2024-03-04,meal_plan
S00017,U0177,P031,N005,$69.55,2024-12-17,coaching
S00018,U0564,P020,—,$35.83,2024-02-21,meal_plan
S00019,U0917,P018,—,$43.91,2024-12-24,meal_plan
S00020,U0032,P007,—,$19.23,2024-11-12,ebook
S00021,U0696,P008,—,$24.70,2024-09-11,ebook
S00022,U0294,P013,—,$24.56,2024-09-24,ebook
S00023,U0925,P023,—,$70.02,2024-05-31,supplement
S00024,U0972,P036,—,$18.93,2024-04-16,ebook
S00025,U0947,P031,—,$32.22,2024-01-02,meal_plan
S00026,U0466,P006,—,$27.14,2024-10-20,ebook
S00027,U0868,P010,—,$56.98,2024-09-18,meal_plan
S00028,U0851,P047,—,$11.03,2024-05-11,ebook
S00029,U0316,P030,—,$58.55,2024-05-31,meal_plan
S00030,U0837,P004,—,$11.00,2024-03-30,ebook
S00031,U0035,P019,—,$48.05,2024-12-12,supplement
S00032,U0596,P048,—,$11.32,2024-01-24,ebook
S00033,U0228,P009,—,$22.27,2024-03-28,ebook
S00034,U0118,P029,—,$28.10,2024-05-17,ebook
S00035,U0072,P006,—,$48.85,2024-06-24,supplement
S00036,U0695,P026,—,$17.01,2024-08-21,ebook
S00037,U0337,P025,—,$22.80,2024-09-01,ebook
S00038,U0723,P042,—,$54.44,2024-03-26,meal_plan
S00039,U0062,P045,—,$23.53,2024-03-22,ebook
S00040,U0314,P038,—,$18.65,2024-10-18,ebook
S00041,U0534,P012,—,$43.45,2024-07-02,meal_plan
S00042,U0792,P044,—,$54.20,2024-03-07,meal_plan
S00043,U0316,P032,N004,$137.76,2024-08-13,coaching
S00044,U0627,P017,—,$22.10,2024-01-07,ebook
S00045,U0891,P044,—,$39.99,2024-10-22,meal_plan
S00046,U0618,P015,—,$58.12,2024-12-08,meal_plan
S00047,U0233,P034,—,$58.48,2024-12-24,supplement
S00048,U0024,P028,—,$45.47,2024-05-07,meal_plan
S00049,U0877,P043,N013,$63.87,2024-10-12,coaching
S00050,U0021,P040,—,$28.49,2024-11-25,supplement
S00051,U0881,P033,—,$79.33,2024-09-10,supplement
S00052,U0525,P005,—,$73.09,2024-06-13,supplement
S00053,U0940,P018,—,$10.01,2024-04-24,ebook
S00054,U0801,P025,N013,$130.71,2024-02-10,coaching
S00055,U0999,P037,N015,$57.80,2024-09-12,coaching
S00056,U0346,P008,N016,$123.52,2024-01-10,coaching
S00057,U0770,P027,—,$9.72,2024-10-08,ebook
S00058,U0398,P006,—,$24.84,2024-11-12,ebook
